session_id,lead,sistema_operativo,variante,oferta_movil
95f469a0-dd58-48b8-a79f-74c7bb96fba0,False,Mac,A,iPhone 13 Pro
655acce0-469b-4e35-a580-22b92e9bd8a3,False,Android,A,iPhone 13 Pro
708fd8e2-78c8-4f83-bb12-764ec3b764f3,False,Android,A,iPhone 13 Pro
b65f74a8-90d9-4de7-9a95-5366ae2220d1,True,Android,A,iPhone 13 Pro
a083ace5-6c40-469e-998f-467719c31ef5,True,iOS,A,iPhone 13 Pro
10eb8120-6f2a-4589-9e9e-1e5f2b373534,False,iOS,A,iPhone 13 Pro
3317662a-d751-4d8b-881d-b96b4ddb6650,False,Android,A,iPhone 13 Pro
02793962-e23a-4ea0-ad96-70ace43226f5,True,Android,A,iPhone 13 Pro
881b3c79-f41c-4abe-ab68-cca401608ac1,False,iOS,A,iPhone 13 Pro
5e838399-cab8-4822-aea6-b199ff39e131,True,iOS,A,iPhone 13 Pro
86ff4ab8-df67-4686-b7c4-8f0e1ea17dfc,True,iOS,A,iPhone 13 Pro
af3ea700-f1b3-4e69-9884-a0747f3df85c,False,Android,A,iPhone 13 Pro
46a79de6-21b9-4a58-8504-eeb0f7639c09,False,Android,A,iPhone 13 Pro
5fc0655e-9a10-48ce-87a6-7a60c5432dca,False,Android,A,iPhone 13 Pro
a79a728d-7567-4b0e-a8de-d409fc7da597,True,iOS,A,iPhone 13 Pro
95decdc1-887f-41b8-b4f1-42b83672cbfb,False,Android,A,iPhone 13 Pro
6be98b86-3dc0-497e-b113-74e4cc85c315,False,Android,A,iPhone 13 Pro
0dccb6ec-b4d6-4dea-ad7d-dc2a616a2b09,True,Android,A,iPhone 13 Pro
45e0d5e5-d365-4afd-9c6e-0b2c174619cb,False,Android,A,iPhone 13 Pro
dc0ea97b-c5a8-4d65-ad81-f0f7369f3924,False,Android,A,iPhone 13 Pro
d012a961-a567-4c8b-b306-a189c49df0b5,False,Android,A,iPhone 13 Pro
dd4c94af-2553-4f36-9df5-ccf4a58ef212,True,Android,A,iPhone 13 Pro
5f0f256d-4fb0-4a12-857b-0801a747a327,False,Android,A,iPhone 13 Pro
26127e92-d268-4b5d-b165-ad7b1a6c8e65,True,iOS,A,iPhone 13 Pro
974aedf9-3d24-4e80-a9ac-236085eb62e0,False,iOS,A,iPhone 13 Pro
41c3d864-bede-40e5-9ad2-ca32fe4431e6,True,iOS,A,iPhone 13 Pro
966ebff1-53d8-4b9e-a380-537cd55750f7,False,iOS,A,iPhone 13 Pro
0eae320d-2465-4eb3-bf7c-1222c10bac98,True,Android,A,iPhone 13 Pro
ea751929-7698-4714-81bb-98fad45ebabb,False,iOS,A,iPhone 13 Pro
f5e5f2a8-51d0-47c3-930d-fdf0358a1512,False,Android,A,iPhone 13 Pro
